time (s), (volts), (volts), (volts)
5693.52,0.60,0.27,0.01
5693.53,0.60,0.27,-0.03
5693.54,0.60,0.27,-0.07
5693.55,0.60,0.26,-0.10
5693.56,0.60,0.23,-0.11
5693.57,0.60,0.20,-0.13
5693.58,0.60,0.17,-0.16
5693.59,0.60,0.13,-0.16
5693.60,0.60,0.09,-0.16
5693.61,0.60,0.04,-0.15
5693.62,0.60,0.01,-0.14
5693.63,0.60,-0.04,-0.13
5693.64,0.60,-0.08,-0.11
5693.65,0.60,-0.12,-0.08
5693.66,0.59,-0.15,-0.05
5693.67,0.60,-0.16,-0.04
5693.68,0.60,-0.20,-0.01
5693.69,0.60,-0.19,-1.18
5693.70,0.60,-0.18,0.08
5693.71,0.60,-0.17,0.15
5693.72,0.60,-0.14,0.17
5693.73,0.60,-0.11,0.24
5693.74,0.60,-0.07,0.27
5693.75,0.60,-0.05,0.29
5693.76,0.60,-0.02,0.30
5693.77,0.60,0.02,0.31
5693.78,0.60,0.08,0.31
5693.79,0.60,0.13,0.29
5693.80,0.60,0.16,0.28
5693.81,0.60,0.19,-8.81
5693.82,0.60,0.22,-3.42
5693.83,0.60,0.24,0.12
5693.84,0.60,0.25,0.06
5693.85,0.60,0.26,0.02
5693.86,0.60,0.27,-0.03
5693.87,0.60,0.27,-0.07
5693.88,0.60,0.26,-0.09
5693.89,0.60,-1.60,-0.11
5693.90,0.60,-3.49,-0.13
5693.91,0.60,0.20,-0.15
5693.92,0.61,0.15,-0.16
5693.93,0.60,0.11,-0.15
5693.94,0.60,0.07,-0.16
5693.95,0.60,0.02,-0.15
5693.96,0.60,-0.02,-0.13
5693.97,0.60,-0.07,-0.11
5693.98,0.60,-0.11,-0.09
5693.99,0.60,-0.15,-0.06
5694.00,0.60,-0.14,-0.05
5694.01,0.60,-0.20,-0.01
5694.02,0.60,-0.19,-2.41
5694.03,0.60,-0.19,-1.84
5694.04,0.60,-0.17,0.13
5694.05,0.60,-0.15,0.18
5694.06,0.60,-0.13,0.23
5694.07,0.60,-0.09,0.26
5694.08,0.60,-0.05,0.28
5694.09,0.60,-0.01,0.30
5694.10,0.60,0.01,0.30
5694.11,0.60,0.08,0.30
5694.12,0.60,0.11,0.28
5694.13,0.60,0.15,0.28
5694.14,0.60,0.18,-8.80
5694.15,0.60,0.21,-7.01
5694.16,0.60,0.23,0.12
5694.17,0.60,0.25,0.06
5694.18,0.60,0.26,0.02
5694.19,0.60,0.27,-0.02
5694.20,0.60,0.27,-0.06
5694.21,0.60,0.26,-0.09
5694.22,0.60,0.26,-0.12
5694.23,0.60,0.22,-0.13
5694.24,0.60,0.22,-0.15
5694.25,0.60,0.16,-0.16
5694.26,0.60,0.12,-0.16
5694.27,0.60,0.08,-0.16
5694.28,0.60,0.04,-0.15
5694.29,0.60,0.00,-0.14
5694.30,0.60,-0.05,-0.12
5694.31,0.60,-0.09,-0.09
5694.32,0.60,-0.14,-0.07
5694.33,0.60,-0.14,-0.05
5694.34,0.60,-0.18,-0.03
5694.35,0.60,-0.20,-0.60
5694.36,0.60,-0.19,-2.42
5694.37,0.60,-0.17,0.09
5694.38,0.60,-0.16,0.15
5694.39,0.60,-0.13,0.21
5694.40,0.60,-0.10,0.25
5694.41,0.60,-0.07,0.27
5694.42,0.60,-0.05,0.29
5694.43,0.60,-0.01,0.29
5694.44,0.60,0.05,0.30
5694.45,0.60,0.10,0.29
5694.46,0.60,0.14,0.27
5694.47,0.60,0.17,-5.18
5694.48,0.60,0.20,-3.42
5694.49,0.60,0.23,0.14
5694.50,0.60,0.25,0.08
5694.51,0.60,0.26,0.03
5694.52,0.60,0.27,-0.01
5694.53,0.60,0.27,-0.05
5694.54,0.60,0.27,-0.09
5694.55,0.60,0.26,-0.11
5694.56,0.60,0.23,-0.13
5694.57,0.60,0.20,-0.15
5694.58,0.60,0.18,-0.16
5694.59,0.60,0.13,-0.16
5694.60,0.60,0.09,-0.16
5694.61,0.60,0.05,-0.15
5694.62,0.60,0.01,-0.14
5694.63,0.60,-0.03,-0.12
5694.64,0.60,-0.08,-0.10
5694.65,0.60,-0.12,-0.07
5694.66,0.60,-0.15,-0.04
5694.67,0.60,-0.16,-0.05
5694.68,0.60,-0.20,0.00
5694.69,0.60,-0.19,-2.57
5694.70,0.60,-0.17,0.08
5694.71,0.60,-0.17,0.18
5694.72,0.60,-0.14,0.18
5694.73,0.60,-0.11,0.23
5694.74,0.60,-0.08,0.26
5694.75,0.60,-0.06,0.28
5694.76,0.60,-0.01,0.29
5694.77,0.60,0.03,0.30
5694.78,0.60,0.09,0.29
5694.79,0.60,0.14,0.27
5694.80,0.60,0.17,-1.55
5694.81,0.60,0.20,-8.81
5694.82,0.60,0.23,-3.44
5694.83,0.60,0.25,0.10
5694.84,0.60,0.26,0.05
5694.85,0.60,0.27,0.01
5694.86,0.60,0.27,-0.04
5694.87,0.60,0.27,-0.09
5694.88,0.60,0.26,-0.11
5694.89,0.60,0.26,-0.12
5694.90,0.60,0.20,-0.14
5694.91,0.60,0.19,-0.16
5694.92,0.60,0.14,-0.16
5694.93,0.60,0.11,-0.17
5694.94,0.60,0.07,-0.15
5694.95,0.60,0.03,-0.14
5694.96,0.60,-0.02,-0.14
5694.97,0.60,-0.06,-0.11
5694.98,0.60,-0.11,-0.09
5694.99,0.60,-0.14,-0.06
5695.00,0.60,-0.14,-0.06
5695.01,0.60,-0.20,-0.01
5695.02,0.60,-0.19,-1.80
5695.03,0.60,-0.17,-3.50
5695.04,0.60,-0.16,0.13
5695.05,0.60,-0.14,0.17
5695.06,0.60,-0.11,0.23
5695.07,0.60,-0.07,0.26
5695.08,0.60,-0.06,0.28
5695.09,0.60,-0.02,0.30
5695.10,0.60,0.03,0.30
5695.11,0.60,0.09,0.30
5695.12,0.60,0.13,0.29
5695.13,0.60,0.16,0.27
5695.14,0.60,0.20,-8.80
5695.15,0.60,0.22,-8.81
5695.16,0.60,0.24,0.12
5695.17,0.60,0.26,0.07
5695.18,0.60,0.27,0.02
5695.19,0.60,0.27,-0.02
5695.20,0.60,0.27,-0.07
5695.21,0.60,0.27,-0.10
5695.22,0.60,0.26,-0.13
5695.23,0.60,0.22,-0.14
5695.24,0.60,0.21,-0.15
5695.25,0.60,0.15,-0.16
5695.26,0.60,0.11,-0.17
5695.27,0.60,0.08,-0.16
5695.28,0.60,0.03,-0.15
5695.29,0.60,-0.01,-0.15
5695.30,0.60,-0.05,-0.13
5695.31,0.60,-0.09,-0.10
5695.32,0.60,-0.14,-0.07
5695.33,0.60,-0.14,-0.06
5695.34,0.60,-0.18,-0.03
5695.35,0.60,-0.19,-1.22
5695.36,0.60,-0.18,-1.77
5695.37,0.60,-0.17,0.10
5695.38,0.60,-0.15,0.17
5695.39,0.60,-0.12,0.21
5695.40,0.60,-0.08,0.25
